Simple Wikipedia						
Question_id	ABC	ACB	BAC	BCA	CAB	CBA
1	8	3	2	1	1	0
2	0	2	0	1	11	1
3	1	2	2	0	6	4
4	1	1	0	0	4	9
5	0	0	0	9	2	4
6	4	0	1	0	7	3
7	3	1	8	2	0	1
8	3	0	4	7	1	0
9	0	0	10	2	0	3
10	7	3	1	2	1	1
						
						
English Wikipedia						
Question_id	ABC	ACB	BAC	BCA	CAB	CBA
1	1	6	0	1	6	1
2	0	3	1	0	6	5
3	0	1	2	5	7	0
4	0	4	2	0	2	7
5	1	1	1	9	0	3
6	3	0	4	1	4	3
7	6	5	0	1	3	0
8	5	4	1	4	0	1
9	0	1	9	3	1	1
10	5	4	1	1	0	4
						
						
Specialised Encyclopedia						
Question_id	ABC	ACB	BAC	BCA	CAB	CBA
1	0	12	0	1	2	0
2	3	7	0	0	3	2
3	0	0	0	1	12	2
4	1	2	0	0	6	6
5	1	0	6	5	0	3
6	2	0	4	2	3	4
7	8	2	3	0	2	0
8	0	0	3	11	0	1
9	1	0	4	9	0	1
10	8	1	3	0	2	1
